ng_word,replacement,reason,risk_level
アトピーの方に,乾燥や肌荒れを防ぎ、肌をすこやかに,医薬品の治療効果を想起させる表現のため（化粧品には使用不可）,high
湿疹に効く,肌荒れを防ぎ、すこやかな肌へ導く,「湿疹に効く」は薬品的な効能の主張となり、化粧品では認められません,high
かゆみが治まる,肌のうるおいを保ち、肌を整える,かゆみの改善は医薬品の範囲であり、化粧品広告で謳えません,high
ニキビが治る,ニキビができやすい肌をケア,「治る」という断定は医薬品的効能効果の標榜にあたり違反です,high
ニキビが治った,ニキビができやすい肌をケア,医薬品のように「治った」と断定する表現はNGです,high
ニキビが改善する,肌を清潔に保ち、肌荒れを防ぐ,症状の「改善」表現は医薬品とみなされるため違反です,high
肌荒れが治る,肌荒れを防ぐ,肌荒れを治す効能は医薬品でないと認められません,high
肌荒れを改善する,肌荒れを防ぐ,「改善する」は治療効果を示唆し、化粧品には許されない表現です,high
シミが消える,うるおいを与えて明るい肌印象へ,既存のシミが消えるような効果は化粧品には認められず、誇大表現となります,high
シミを消す,メラニンの生成を抑え、シミ・そばかすを防ぐ,シミを「消す」は医薬部外品でも認められた効能表現ではなく違反リスクがあります,high
シミがなくなる,うるおいを与えて明るい肌印象へ,シミが完全になくなると誤解させる表現は虚偽誇大と判断されます,high
シミ消しクリーム,シミ対策クリーム,「シミ消し」という効能の断定は薬機法上許されません,high
シミが薄くなる,透明感のある肌へ導く,シミを薄くする効果は医薬品的表現であり、化粧品ではNGです,high
シワがなくなる,乾燥による小ジワを目立たなくする,しわが無くなると断定すると、医薬品の効能とみなされます,high
シワを消す,乾燥による小ジワを目立たなくする,しわを完全に消す表現は認められた効能範囲を逸脱します,high
どんなシワも一瞬で消す,シワを目立たなくするメイク効果,あらゆるしわが瞬時に消えるとの表現は誇大広告に該当します,high
たるみを解消,肌にハリを与えるケア,たるみの解消（根本改善）は化粧品の作用範囲を超えています,high
毛穴がなくなる,毛穴の汚れを落として、毛穴が目立ちにくくなめらかな肌に,毛穴自体が消滅するかのような表現は事実に反し誇大です,high
毛穴が消える,毛穴を引き締め、目立ちにくくする,毛穴が消えると断定すると、実際には不可能な効果を謳うことになります,high
毛穴が小さくなる,毛穴を引き締め、キメを整える,毛穴の大きさを変えるような主張は化粧品では許されません,high
毛穴レス肌,毛穴の目立たないなめらかな肌,「毛穴レス」は毛穴が存在しない状態を示し、明らかに過剰な表現です,high
100%毛穴レス肌に,キメの整った肌印象に,「100%毛穴レス」は効果の保証（完全保証）にあたるためNGです,high
肌が白くなる（美白）,保湿効果で透明感のある肌に,「美白」は一般化粧品には許されない効能表現で、薬機法で制限されています,high
美白効果抜群,明るい印象の肌へ,「効果抜群」など効能を断定的に最大級で表現することは禁止されています,high
アンチエイジング,年齢に応じたスキンケア,「アンチエイジング」という表現は加齢自体を防ぐかのようで薬機法違反となります,high
若返る,エイジングケア（年齢に応じたお手入れ）,化粧品で「若返る」ことは物理的に不可能なため、違法な表現です,high
若い頃の肌が蘇る,みずみずしい印象の肌へ導く,実際に若い頃の肌に戻すことはできず、誇大な表現と判断されます,high
素肌の力が若返る,すこやかな素肌へ導く,肌の自己再生・若返りを謳う表現は根拠がなく認められません,high
肌の老化を防止する,エイジングサインに対応するケア,「老化防止」は老化現象自体の阻止を謳うため薬機法上NGです,high
リフトアップ,肌を引き締めるケア,外科的なリフトアップ効果を謳うのは化粧品の効能を逸脱しています,high
小顔になる,フェイスラインをすっきり見せるメイク,顔そのものの大きさを変える効果は化粧品では出せず、虚偽となります,high
バストアップ,ハリとうるおいのあるバストケア,バストのサイズ向上は薬機法上認められた効能ではありません,high
育毛,毛髪をすこやかに保つ,「育毛」は医薬部外品で有効成分を配合した場合のみ使用可の表現です,high
発毛,髪にハリ・コシを与える,「発毛」効果は医薬品領域であり、化粧品には使用できません,high
まつ毛が伸びる,まつ毛をすこやかに保つケア,化粧品で毛が伸びると謳えば医薬品的効能の標榜にあたります,high
細胞を再生する,肌をすこやかに保つ,細胞レベルの再生を謳うのは医療効果の表現で違反です,high
高貴薬配合,こだわりの美容成分を使用,「薬」という文言を含み医薬品のような印象を与えるためNGです,high
デラックス処方,贅沢な使用感の処方,広告用語であって効能・安全性の保証にはなりませんが、誇大と取られる可能性があります,low
各種ビタミンを配合,肌のコンディションを整える成分を配合,栄養成分を列挙するだけでは効能が不明瞭になり、消費者誤認の恐れがあります,low
肌荒れ改善成分,肌の潤いを守る成分,「改善成分」は医薬品的表現（症状の改善）を想起させ違反リスクが高いです,high
無添加,不要な成分を極力カット,「無添加」は何を添加しないか明確でなく優良誤認を招く恐れがあります,mid
完全無添加,不要な成分を使用しない処方,「完全無添加」は全て無添加と保証する過度な表現で、誇大広告です,high
天然成分で副作用なし,天然由来の成分を配合,「副作用なし」と断言するのは安全性の保証表現となり禁止されています,high
副作用なし,肌への負担が少ない処方,「副作用がない」との断定は医薬品でも保証できず、虚偽のおそれがあります,high
絶対安全,肌へのやさしさを考えた設計,「絶対安全」は安全性保証の表現であり、薬機法上認められません,high
敏感肌でも安心,敏感肌にも使える,「安心」と断定すると安全を保証することになり、NGとなります,mid
赤ちゃんも安心して使える,家族みんなで使える処方,「赤ちゃんにも安心」という表現は全ての乳幼児に安全と保証するため禁止です,high
業界No.1の○○,人気の美白成分を配合,客観的な根拠なくNo.1と称するのは景品表示法上問題となります,high
史上最高の○○,多くの方に愛されている保湿成分,「史上最高」は明確な根拠なく使用できない最上級の宣伝表現です,high
最高の効き目,美容成分をたっぷり配合,「最高の効果」は効能について最大級表現を用いており虚偽誇大にあたります,high
最高の成分,厳選した成分を配合,「最高の成分」は客観的根拠がなく最大級の表現となるためNGです,high
最強の○○,パワフルなケア効果,「最強」という表現は効能の誇大な強調であり使用できません,high
奇跡の○○,注目の成分,「奇跡」と称するのは事実を逸脱した誇張表現で注意が必要です,mid
魔法の○○,手軽にケアできる○○,「魔法の～」という表現は根拠なく魔法のような効果を謳う誇大表現です,mid
驚異の○○,浸透しやすい設計,「驚異の～」は性能を誇大に伝える表現で、根拠がなければ違反となりえます,mid
劇的な○○,無理なくケアできる,「劇的な～」は効果の過度な強調となり、実態と異なれば誇大広告になります,mid
すぐ効く,毎日のケアに取り入れたくなる使用感,即効性を保証する「すぐ効く」は虚偽または誇大な表現と判断されます,high
皮膚科医が推薦,科学的根拠に基づいた成分を配合,医師など第三者の推薦を謳うと消費者への影響が大きく禁止されています,high
医療レベルのエイジングケア,最新のエイジングケア（年齢に応じたお手入れ）,「医療レベル」は医療と同等の効果を示唆し、化粧品広告では不適切です,high
クリニック品質,高品質な処方,「クリニック品質」は医療機関と同等の効果・品質を想起させるためNGです,high
○○点滴コスメ,○○美容コスメ,医療行為を連想させる「点滴」という表現は避けるべきです,high
効果大,効果が期待できる,効果を絶対的に大きいと示す表現は根拠なく用いると誇大広告となります,high
優れた効果,十分な効果が期待できる,「優れた効果」など最大級の効能表現は客観的証拠がなければ使えません,high
実感（例：「効果を実感」）,満足の声多数,「～を実感」は誰もが効果を感じるかの保証表現になり注意が必要です,mid
効能評価試験済み,乾燥による小ジワを目立たなくする試験済み,効能評価試験済みと記載する場合は条件・注釈付きでないと認められません,mid
アレルギーテスト済み,アレルギーテスト済み※すべての方にアレルギーが起きないわけではありません。,アレルギーテスト済みとする場合は但し書きを伴わないと誤認を与えます,mid
低刺激,低刺激※すべての方に皮膚刺激が起きないわけではありません。,「低刺激」も強調すると全員に刺激がない保証と受け取られる恐れがあります,mid
一日中メイクが崩れない,メイク崩れしにくい処方,全く崩れないと断言すると実証が難しく、景表法上問題になる可能性があります,mid
24時間うるおう,長時間うるおう,長時間持続などの時間を保証する表現は科学的根拠がなければ誇大となります,mid
ニキビ跡が消える,ニキビ跡を目立たなくするメイク効果,ニキビ跡が消える＝治癒を意味し、化粧品では効能外の不適切な表現です,high
黒ずみが消える,古い角質や汚れを落として明るい肌に,黒ずみが消えると謳うのは美白効果の保証となり、薬機法上許されません,high
デトックス効果,スッキリとした洗い上がり,「デトックス」は医学的根拠がなく、暗に体調改善を謳う表現は注意が必要です,mid
レーザー級の効果,集中的なシミ対策ケア,医療機器であるレーザーと同等の効果を謳うのは明らかに誇大広告です,high
手術級の効果,引き上げケアでハリを与える,手術と同等の効果を標榜するのは虚偽にあたり重大な違反となります,high
飲む日焼け止め,紫外線対策を内側からサポートするサプリ,経口摂取で日焼け止め効果を謳うのは許可されておらず行政処分事例もあります,high
あらゆる肌悩みを解決,総合的に肌にアプローチするケア,あらゆる悩みを「解決」と断定すると虚偽誇大な表現になります,high
肌の奥まで浸透,角質層まで浸透,「肌の奥まで」は角質層より深部を想起させ、薬機法上許されない表現です,mid
細胞に働きかける,角質層にアプローチ,細胞レベルに作用すると謳うのは人体への強い作用を示唆し違反となります,high
DNAを修復する,肌を保護する,DNA修復などの表現は医薬品の効果を謳うもので化粧品広告には不可です,high
薬用と同じ効果,潤いケアで健やかな肌へ,医薬部外品と同等の効果を謳えば未承認医薬品の広告と見なされます,high
マイナス○歳肌,年齢に応じたお手入れ,実年齢より若い肌を数値で示す表現は誇大であり認められません,high
3日で効果実感,継続使用で変化を目指す,短期間で誰もが効果を得られると誤解させる表現は避けるべきです,mid
絶対にニキビができない,ニキビができにくい肌に整える,ニキビが絶対にできないという保証表現は虚偽の誇大広告に当たります,high
絶対に落ちない,落ちにくい,「絶対落ちない」は過度な保証であり、実際に落ちる可能性もあるためNGです,mid
脂肪を燃焼する,マッサージで引き締める,脂肪の燃焼効果は医薬品的な効能であり、化粧品では標榜できません,high
セルライトを消す,肌を滑らかにする,セルライト除去は医療行為の領域であり、化粧品では謳えません,high
妊娠線が消える,妊娠線を目立たなくするケア,妊娠線を消す＝傷跡治療の効能となり、薬機法上認められません,high
塗るボトックス,ハリを与える美容液,「塗るボトックス」は医薬品と同等の作用を謳う不適切な表現です,high
白髪が黒髪に戻る,ツヤのある髪に見せる,白髪が黒髪に戻る＝毛髪の構造変化を伴う効果は化粧品では出せません,high
癒す（例：「疲れを癒す」）,リラックスさせる香り,「癒す」は医療的な治癒を想起させ、単なるリラックス効果以上に誤解を与えます,mid
ステロイド不要（例：「ステロイドを使わずに治す」）,敏感な肌をやさしくケア,ステロイドなど医薬品を不要とする効果の謳い文句は違法性が高いです,high
メラニンを破壊する,メラニンの生成を抑える,メラニンを破壊するほどの作用は化粧品にはなく、医薬品的表現です,high
血行を良くする,マッサージで巡りをサポート,血行促進の効能は医薬品の範囲であり、化粧品広告では使用不可です,high
新陳代謝を高める,肌サイクルを整える,新陳代謝を上げるなど生理機能の向上表現は薬機法で禁止されています,high
ホルモンバランスを整える,心地よい香りでリラックス,ホルモンバランスへの言及は医療効果の暗示となりNGです,high
免疫力を高める,肌をすこやかに保つ,免疫力増強は医薬品的効能の典型例で、健康食品でも表示不可の内容です,high
殺菌する,肌を清潔に保つ,殺菌効果の標榜は医薬部外品でない化粧品には許されません,high
炎症を抑える,肌荒れを防ぐ,炎症を抑える効能は医薬品の領域であり、化粧品には認められません,high
疲労回復,リフレッシュできる,「疲労回復」は医薬品的な効能表現で、化粧品では使用できません,high
ストレスを軽減する,気分をリラックスさせる,ストレス軽減など精神状態の改善効果は薬機法上認められない表現です,mid